confirmed,recovered,critical,deaths,active,date
580,0,0,17,563,2020-01-22
845,0,0,25,820,2020-01-23
1317,0,0,41,1276,2020-01-24
2015,0,0,56,1959,2020-01-25
2800,0,0,80,2720,2020-01-26
4581,0,0,106,4475,2020-01-27
6058,0,0,132,5926,2020-01-28
7813,0,0,170,7643,2020-01-29
9823,0,0,213,9610,2020-01-30
11950,0,0,259,11691,2020-01-31
14553,0,0,304,14249,2020-02-01
17391,504,2298,362,16525,2020-02-02
20630,643,2790,426,19561,2020-02-03
24545,907,3223,492,23146,2020-02-04
28266,1173,3863,565,26528,2020-02-05
31439,1562,4825,638,29239,2020-02-06
34876,2083,6106,724,32069,2020-02-07
37552,2684,6196,813,34055,2020-02-08
40553,3323,6494,910,36320,2020-02-09
43099,4043,7344,1018,38038,2020-02-10
45134,4803,8216,1115,39216,2020-02-11
59287,5987,8049,1261,52039,2020-02-12
64438,6808,10228,1383,56247,2020-02-13
67100,8196,11082,1526,57378,2020-02-14
69197,9538,11299,1669,57990,2020-02-15
71329,10973,10670,1775,58581,2020-02-16
73332,12712,11795,1873,58747,2020-02-17
75184,14553,12057,2009,58622,2020-02-18
75700,16357,11911,2126,57217,2020-02-19
76677,18524,11681,2247,55906,2020-02-20
77673,20895,11531,2360,54418,2020-02-21
78651,22650,11553,2460,53541,2020-02-22
79205,24991,10007,2618,51596,2020-02-23
80090,27467,9216,2699,49924,2020-02-24
80828,30051,8839,2763,48014,2020-02-25
81820,32805,8469,2800,46215,2020-02-26
83108,36520,8100,2858,43730,2020-02-27
84617,39430,7816,2923,42264,2020-02-28
86606,42330,7570,2977,41299,2020-02-29
88586,45122,7375,3050,40414,2020-03-01
90448,48108,7094,3117,39223,2020-03-02
93018,50944,6771,3202,38872,2020-03-03
95324,53524,6420,3285,38515,2020-03-04
98414,55605,6272,3387,39422,2020-03-05
102051,57609,6401,3493,40949,2020-03-06
106103,60174,6035,3598,42331,2020-03-07
109997,62280,5977,3826,43891,2020-03-08
114431,64058,5772,4023,46350,2020-03-09
119075,66624,5748,4297,48154,2020-03-10
126307,68310,5707,4627,53370,2020-03-11
134565,70373,5948,4980,59212,2020-03-12
145478,72595,6072,5428,67455,2020-03-13
156438,75930,5642,5842,74666,2020-03-14
169455,77459,5911,6533,85463,2020-03-15
182389,79636,6151,7178,95575,2020-03-16
198154,82631,6403,7997,107526,2020-03-17
218844,85356,6747,8983,124505,2020-03-18
244989,88176,7320,10083,146730,2020-03-19
275659,91589,7848,11466,172604,2020-03-20
305080,95537,9237,13114,196429,2020-03-21
337522,98658,9768,14762,224102,2020-03-22
379081,102105,12064,16699,260277,2020-03-23
422907,108930,13097,19193,294784,2020-03-24
471537,114298,14794,21785,335454,2020-03-25
532504,124017,19360,24750,383737,2020-03-26
597190,133152,23524,28226,435812,2020-03-27
663978,142037,25209,31936,490005,2020-03-28
724490,151405,26791,35315,537770,2020-03-29
788767,165488,29498,39490,583789,2020-03-30
862804,178253,32843,44226,640325,2020-03-31
939969,194289,35448,49425,696255,2020-04-01
1020187,212341,37657,55723,752123,2020-04-02
1104304,228786,39399,61737,813781,2020-04-03
1185931,246665,42296,67889,871377,2020-04-04
1256416,263592,45597,72963,919861,2020-04-05
1329553,278863,47470,78611,972079,2020-04-06
1407947,302389,47904,86511,1019047,2020-04-07
1492454,331979,48381,93309,1067166,2020-04-08
1577712,356630,49126,100988,1120094,2020-04-09
1669326,376456,49811,108395,1184475,2020-04-10
1748629,403057,50592,114730,1230842,2020-04-11
1820200,423872,50758,120409,1275919,2020-04-12
1890313,445214,51742,126132,1318967,2020-04-13
1963450,479258,51609,133576,1350616,2020-04-14
2046254,510951,51142,141768,1393535,2020-04-15
2127095,548269,56596,148806,1430020,2020-04-16
2212095,573050,56963,157290,1481755,2020-04-17
2292438,600013,55265,163977,1528448,2020-04-18
2367686,630846,54225,168954,1567886,2020-04-19
2441198,651846,56763,174522,1614830,2020-04-20
2516688,697902,57254,181747,1637039,2020-04-21
2596819,726616,56686,188401,1681802,2020-04-22
2681736,756681,58696,195172,1729883,2020-04-23
2783485,824596,58531,201577,1757312,2020-04-24
2873786,864899,58202,207755,1801132,2020-04-25
2947103,889184,57600,211600,1846319,2020-04-26
3016492,934107,56297,216120,1866265,2020-04-27
3091980,967205,56965,222875,1901900,2020-04-28
3171890,1014903,59817,229495,1927492,2020-04-29
3257789,1054942,50956,235316,1967531,2020-04-30
3352817,1097129,51355,241000,2014688,2020-05-01
3435764,1139087,50860,246314,2050363,2020-05-02
3518003,1172854,50040,249891,2095258,2020-05-03
3597487,1214801,49639,253996,2128690,2020-05-04
3678973,1262034,49256,259827,2157112,2020-05-05
3774908,1322127,48214,266674,2186107,2020-05-06
3871291,1365251,48962,272288,2233752,2020-05-07
3967927,1409187,48703,277790,2280950,2020-05-08
4057312,1465492,47685,282091,2309729,2020-05-09
4137602,1507682,47040,286134,2343786,2020-05-10
4212291,1546416,46939,289633,2376242,2020-05-11
4298056,1614259,46340,295177,2388620,2020-05-12
4387845,1675532,45921,300406,2411907,2020-05-13
4485196,1721492,45566,305693,2458011,2020-05-14
4585635,1777228,45007,310714,2497693,2020-05-15
4682614,1832151,44827,315077,2535386,2020-05-16
4765217,1879411,44823,318728,2567078,2020-05-17
4855790,1928861,44764,322210,2604719,2020-05-18
4951685,1983241,45428,326798,2641646,2020-05-19
5055258,2048937,45800,331439,2674882,2020-05-20
5163723,2109837,45620,336404,2717482,2020-05-21
5272708,2217766,44583,341074,2713868,2020-05-22
5373229,2277504,53562,345269,2750456,2020-05-23
5470621,2334357,53224,348469,2787795,2020-05-24
5561570,2400291,53167,351792,2809487,2020-05-25
5655501,2468246,53101,355584,2831671,2020-05-26
5763099,2537916,52973,360906,2864277,2020-05-27
5880928,2623587,53975,365605,2891736,2020-05-28
6007931,2692564,53735,370539,2944828,2020-05-29
6133454,2772243,53503,374687,2986524,2020-05-30
6243403,2883296,53409,377979,2982128,2020-05-31
6349201,2941032,53407,381065,3027104,2020-06-01
6465652,3049362,54527,385752,3030538,2020-06-02
6587053,3203377,54202,390705,2992971,2020-06-03
6718519,3286109,53602,396290,3036120,2020-06-04
6849964,3365063,53576,401219,3083682,2020-06-05
6979636,3441743,53587,405521,3132372,2020-06-06
7094575,3491066,53752,409050,3194459,2020-06-07
7203245,3566373,53798,412248,3224624,2020-06-08
7325277,3634200,54022,417024,3274053,2020-06-09
7462219,3766810,53805,422209,3273200,2020-06-10
7601516,3872626,53900,427234,3301656,2020-06-11
7744955,3959501,53876,431879,3353575,2020-06-12
7880249,4065922,54074,436177,3378150,2020-06-13
8004842,4140449,54098,439508,3424885,2020-06-14
8130992,4231346,54537,442954,3456692,2020-06-15
8275209,4337885,54551,449553,3487771,2020-06-16
8421878,4447341,54397,454798,3519739,2020-06-17
8563569,4546911,54429,459990,3556668,2020-06-18
8746174,4656365,54729,465144,3624665,2020-06-19
8904374,4770195,54444,469650,3664529,2020-06-20
9035594,4871206,54665,473044,3691344,2020-06-21
9175843,4954266,57886,476897,3744680,2020-06-22
9340494,5074554,57911,482360,3783580,2020-06-23
9514972,5207801,58415,487451,3819720,2020-06-24
9696365,5293380,57628,492664,3910321,2020-06-25
9891982,5392036,57643,497538,4002408,2020-06-26
10070626,5493413,57748,502155,4075058,2020-06-27
10235470,5588928,57670,505665,4140877,2020-06-28
10397742,5698700,57531,509127,4189915,2020-06-29
10573324,5830004,57787,514219,4229101,2020-06-30
10772455,5962475,57987,519110,4290870,2020-07-01
10982639,6162663,58134,524313,4295663,2020-07-02
11197533,6297162,58838,529559,4370812,2020-07-03
11393774,6438774,58530,534130,4420870,2020-07-04
11572501,6536123,58538,537797,4498581,2020-07-05
11744672,6641715,57978,541408,4561549,2020-07-06
11953786,6850133,58195,546974,4556679,2020-07-07
12168252,7028695,58325,552580,4586977,2020-07-08
12392784,7185007,58460,558038,4649739,2020-07-09
12630964,7332909,58896,563508,4734547,2020-07-10
12848376,7478608,58831,568572,4801196,2020-07-11
13047508,7583428,58925,572768,4891312,2020-07-12
13244210,7697469,58871,576590,4970151,2020-07-13
13464433,7847866,59552,582116,5034451,2020-07-14
13700034,8037715,59617,587959,5074360,2020-07-15
13949705,8279167,59934,593764,5076774,2020-07-16
14190643,8455028,60142,599369,5136246,2020-07-17
14417667,8606240,59907,604420,5207007,2020-07-18
14640336,8729872,59809,608776,5301688,2020-07-19
14845960,8901510,59807,612816,5331634,2020-07-20
15085083,9105030,63786,618504,5361549,2020-07-21
15363809,9340912,66171,629288,5393609,2020-07-22
15639706,9528433,66324,635597,5475676,2020-07-23
15929737,9714499,66183,641837,5573401,2020-07-24
16190310,9908100,66170,647602,5634608,2020-07-25
16403336,10036890,66247,651664,5714782,2020-07-26
16635927,10226482,66564,656083,5753362,2020-07-27
16883789,10450932,66504,662481,5770376,2020-07-28
17171005,10682039,66366,669242,5819724,2020-07-29
17463303,10931675,66380,675967,5855661,2020-07-30
17745673,11151834,65537,682197,5911642,2020-07-31
18008407,11324112,65698,688022,5996273,2020-08-01
18237471,11473892,65798,692717,6070862,2020-08-02
18437388,11677698,64732,697083,6062607,2020-08-03
18683573,11902943,65436,703135,6077495,2020-08-04
18965762,12156537,65511,710284,6098941,2020-08-05
19249528,12350509,65218,716736,6182283,2020-08-06
19532537,12537862,65131,723184,6271491,2020-08-07
19796949,12715384,65144,728809,6352756,2020-08-08
20016541,12892475,64852,733607,6390459,2020-08-09
